Bacterial Counts,Coral Counts,Algae Counts,Viral Counts
0.5,0.5,0.5,0.5
0.7899999999999999,0.49,0.51,0.52
1.1436,0.41979999999999995,0.5802,0.5462
1.586676,0.26343599999999995,0.736564,0.5799960000000001
2.15572328,0.0,1.0,0.62332944
2.8990672352,0.0,1.0,0.6789104944
3.801084571232,0.0,1.0,0.7504700489919999
